IndexNote;IndexClient;nbcouverts;DateDepart;DateArrivee;NbAdultes;NbEnfants;Nuitees;IModeReglement;DatePrestation;PrixUnitaire;Quantite;IProduitVente;CodeStatistique;LibelleStatistique;IndexDate;IndexMeteo
17;16;2;2017-06-15;2017-06-09;2;0;6;2;2017-06-09;55;2;179;FORF;FORFAIT;159;160
17;16;2;2017-06-15;2017-06-09;2;0;6;2;2017-06-10;55;2;179;FORF;FORFAIT;160;161
17;16;2;2017-06-15;2017-06-09;2;0;6;2;2017-06-11;55;2;179;FORF;FORFAIT;161;162
17;16;2;2017-06-15;2017-06-09;2;0;6;2;2017-06-12;55;2;179;FORF;FORFAIT;162;163
17;16;2;2017-06-15;2017-06-09;2;0;6;2;2017-06-13;55;2;179;FORF;FORFAIT;163;164
17;16;2;2017-06-15;2017-06-09;2;0;6;2;2017-06-14;55;2;179;FORF;FORFAIT;164;165
16;121;1;2017-06-10;2017-06-09;1;0;1;3;2017-06-09;4;1;189;BARA;BAR-ALCOOL;159;160
18;118;2;2017-06-10;2017-06-09;2;0;1;2;2017-06-09;1.5;2;202;BARS;BAR-SOFT;159;160
19;13;2;2017-06-10;2017-06-09;2;0;1;3;2017-06-09;4;3;106;BARA;BAR-ALCOOL;159;160
19;13;2;2017-06-10;2017-06-09;2;0;1;3;2017-06-09;2.5;1;206;VEMP;VTE-EMPORTER;159;160
16;121;1;2017-06-10;2017-06-09;1;0;1;3;2017-06-09;4;1;112;BARA;BAR-ALCOOL;159;160
24;;2;;;;;;1;2017-06-09;8;1;2;REST;RESTAURANT;159;160
24;;2;;;;;;1;2017-06-09;14;2;5;REST;RESTAURANT;159;160
24;;2;;;;;;1;2017-06-09;22;2;14;REST;RESTAURANT;159;160
24;;2;;;;;;1;2017-06-09;8;1;18;REST;RESTAURANT;159;160
24;;2;;;;;;1;2017-06-09;6;1;25;REST;RESTAURANT;159;160
24;;2;;;;;;1;2017-06-09;4;1;193;BARS;BAR-SOFT;159;160
24;;2;;;;;;1;2017-06-09;2;2;173;BARS;BAR-SOFT;159;160
24;;2;;;;;;1;2017-06-09;4;2;205;BARS;BAR-SOFT;159;160
16;121;1;2017-06-10;2017-06-09;1;0;1;3;2017-06-09;12;1;46;BARA;BAR-ALCOOL;159;160
16;121;1;2017-06-10;2017-06-09;1;0;1;3;2017-06-09;26;1;163;FORF;FORFAIT;159;160
18;118;2;2017-06-10;2017-06-09;2;0;1;2;2017-06-09;19;1;13;REST;RESTAURANT;159;160
17;16;2;2017-06-15;2017-06-09;2;0;6;2;2017-06-09;4.5;1;190;BARA;BAR-ALCOOL;159;160
27;;2;;;;;;3;2017-06-10;15;1;7;REST;RESTAURANT;160;161
27;;2;;;;;;3;2017-06-10;19;1;16;REST;RESTAURANT;160;161
27;;2;;;;;;3;2017-06-10;35;1;40;BARA;BAR-ALCOOL;160;161
27;;2;;;;;;3;2017-06-10;2;2;173;BARS;BAR-SOFT;160;161
29;16;2;2017-06-17;2017-06-10;2;0;7;1;2017-06-10;55;2;179;FORF;FORFAIT;160;161
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-10;55;2;179;FORF;FORFAIT;160;161
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-10;55;2;179;FORF;FORFAIT;160;161
29;16;2;2017-06-17;2017-06-10;2;0;7;1;2017-06-11;55;2;179;FORF;FORFAIT;161;162
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-11;55;2;179;FORF;FORFAIT;161;162
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-11;55;2;179;FORF;FORFAIT;161;162
29;16;2;2017-06-17;2017-06-10;2;0;7;1;2017-06-12;55;2;179;FORF;FORFAIT;162;163
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-12;55;2;179;FORF;FORFAIT;162;163
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-12;55;2;179;FORF;FORFAIT;162;163
29;16;2;2017-06-17;2017-06-10;2;0;7;1;2017-06-13;55;2;179;FORF;FORFAIT;163;164
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-13;55;2;179;FORF;FORFAIT;163;164
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-13;55;2;179;FORF;FORFAIT;163;164
29;16;2;2017-06-17;2017-06-10;2;0;7;1;2017-06-14;55;2;179;FORF;FORFAIT;164;165
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-14;55;2;179;FORF;FORFAIT;164;165
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-14;55;2;179;FORF;FORFAIT;164;165
29;16;2;2017-06-17;2017-06-10;2;0;7;1;2017-06-15;55;2;179;FORF;FORFAIT;165;166
