IndexDate,Annee,Mois,Jour,Date,VacancesScolaires
229,2017,08,18,18/08/2017,true
230,2017,08,19,19/08/2017,true
231,2017,08,20,20/08/2017,true
232,2017,08,21,21/08/2017,true
233,2017,08,22,22/08/2017,true
234,2017,08,23,23/08/2017,true
235,2017,08,24,24/08/2017,true
236,2017,08,25,25/08/2017,true
237,2017,08,26,26/08/2017,true
238,2017,08,27,27/08/2017,true
239,2017,08,28,28/08/2017,true
240,2017,08,29,29/08/2017,true
241,2017,08,30,30/08/2017,true
242,2017,08,31,31/08/2017,true
243,2017,09,01,01/09/2017,true
244,2017,09,02,02/09/2017,true
245,2017,09,03,03/09/2017,true
246,2017,09,04,04/09/2017,false
247,2017,09,05,05/09/2017,false
248,2017,09,06,06/09/2017,false
249,2017,09,07,07/09/2017,false
250,2017,09,08,08/09/2017,false
251,2017,09,09,09/09/2017,false
252,2017,09,10,10/09/2017,false
253,2017,09,11,11/09/2017,false
254,2017,09,12,12/09/2017,false
255,2017,09,13,13/09/2017,false
256,2017,09,14,14/09/2017,false
257,2017,09,15,15/09/2017,false
258,2017,09,16,16/09/2017,false
259,2017,09,17,17/09/2017,false
260,2017,09,18,18/09/2017,false
261,2017,09,19,19/09/2017,false
262,2017,09,20,20/09/2017,false
263,2017,09,21,21/09/2017,false
264,2017,09,22,22/09/2017,false
265,2017,09,23,23/09/2017,false
266,2017,09,24,24/09/2017,false
267,2017,09,25,25/09/2017,false
268,2017,09,26,26/09/2017,false
269,2017,09,27,27/09/2017,false
270,2017,09,28,28/09/2017,false
271,2017,09,29,29/09/2017,false
272,2017,09,30,30/09/2017,false
273,2017,10,01,01/10/2017,false
274,2017,10,02,02/10/2017,false
275,2017,10,03,03/10/2017,false
276,2017,10,04,04/10/2017,false
277,2017,10,05,05/10/2017,false
278,2017,10,06,06/10/2017,false
279,2017,10,07,07/10/2017,false
280,2017,10,08,08/10/2017,false
281,2017,10,09,09/10/2017,false
282,2017,10,10,10/10/2017,false
283,2017,10,11,11/10/2017,false
284,2017,10,12,12/10/2017,false
285,2017,10,13,13/10/2017,false
286,2017,10,14,14/10/2017,false
287,2017,10,15,15/10/2017,false
288,2017,10,16,16/10/2017,false
289,2017,10,17,17/10/2017,false
290,2017,10,18,18/10/2017,false
291,2017,10,19,19/10/2017,false
292,2017,10,20,20/10/2017,false
293,2017,10,21,21/10/2017,true
294,2017,10,22,22/10/2017,true
295,2017,10,23,23/10/2017,true
296,2017,10,24,24/10/2017,true
297,2017,10,25,25/10/2017,true
298,2017,10,26,26/10/2017,true
299,2017,10,27,27/10/2017,true
300,2017,10,28,28/10/2017,true
301,2017,10,29,29/10/2017,true
302,2017,10,30,30/10/2017,true
303,2017,10,31,31/10/2017,true
304,2017,11,01,01/11/2017,true
305,2017,11,02,02/11/2017,true
306,2017,11,03,03/11/2017,true
307,2017,11,04,04/11/2017,true
308,2017,11,05,05/11/2017,true
309,2017,11,06,06/11/2017,false
310,2017,11,07,07/11/2017,false
311,2017,11,08,08/11/2017,false
312,2017,11,09,09/11/2017,false
313,2017,11,10,10/11/2017,false
314,2017,11,11,11/11/2017,false
315,2017,11,12,12/11/2017,false
316,2017,11,13,13/11/2017,false
317,2017,11,14,14/11/2017,false
318,2017,11,15,15/11/2017,false
319,2017,11,16,16/11/2017,false
320,2017,11,17,17/11/2017,false
321,2017,11,18,18/11/2017,false
322,2017,11,19,19/11/2017,false
323,2017,11,20,20/11/2017,false
324,2017,11,21,21/11/2017,false
325,2017,11,22,22/11/2017,false
326,2017,11,23,23/11/2017,false
327,2017,11,24,24/11/2017,false
328,2017,11,25,25/11/2017,false
329,2017,11,26,26/11/2017,false
330,2017,11,27,27/11/2017,false
331,2017,11,28,28/11/2017,false
332,2017,11,29,29/11/2017,false
333,2017,11,30,30/11/2017,false
334,2017,12,01,01/12/2017,false
335,2017,12,02,02/12/2017,false
336,2017,12,03,03/12/2017,false
337,2017,12,04,04/12/2017,false
338,2017,12,05,05/12/2017,false
339,2017,12,06,06/12/2017,false
340,2017,12,07,07/12/2017,false
341,2017,12,08,08/12/2017,false
342,2017,12,09,09/12/2017,false
343,2017,12,10,10/12/2017,false
344,2017,12,11,11/12/2017,false
345,2017,12,12,12/12/2017,false
346,2017,12,13,13/12/2017,false
347,2017,12,14,14/12/2017,false
348,2017,12,15,15/12/2017,false
349,2017,12,16,16/12/2017,false
350,2017,12,17,17/12/2017,false
351,2017,12,18,18/12/2017,false
352,2017,12,19,19/12/2017,false
353,2017,12,20,20/12/2017,false
354,2017,12,21,21/12/2017,false
355,2017,12,22,22/12/2017,false
356,2017,12,23,23/12/2017,true
357,2017,12,24,24/12/2017,true
358,2017,12,25,25/12/2017,true
359,2017,12,26,26/12/2017,true
360,2017,12,27,27/12/2017,true
361,2017,12,28,28/12/2017,true
362,2017,12,29,29/12/2017,true
363,2017,12,30,30/12/2017,true
364,2017,12,31,31/12/2017,true
365,2018,01,01,01/01/2018,true
366,2018,01,02,02/01/2018,true
367,2018,01,03,03/01/2018,true
368,2018,01,04,04/01/2018,true
369,2018,01,05,05/01/2018,true
370,2018,01,06,06/01/2018,true
371,2018,01,07,07/01/2018,true
372,2018,01,08,08/01/2018,false
373,2018,01,09,09/01/2018,false
374,2018,01,10,10/01/2018,false
375,2018,01,11,11/01/2018,false
376,2018,01,12,12/01/2018,false
377,2018,01,13,13/01/2018,false
