IndexDate,Annee,Mois,Jour,Date,VacancesScolaires
330,2017,11,27,2017-11-27,false
331,2017,11,28,2017-11-28,false
332,2017,11,29,2017-11-29,false
333,2017,11,30,2017-11-30,false
334,2017,12,01,2017-12-01,false
335,2017,12,02,2017-12-02,false
336,2017,12,03,2017-12-03,false
337,2017,12,04,2017-12-04,false
338,2017,12,05,2017-12-05,false
339,2017,12,06,2017-12-06,false
340,2017,12,07,2017-12-07,false
341,2017,12,08,2017-12-08,false
342,2017,12,09,2017-12-09,false
343,2017,12,10,2017-12-10,false
344,2017,12,11,2017-12-11,false
345,2017,12,12,2017-12-12,false
346,2017,12,13,2017-12-13,false
347,2017,12,14,2017-12-14,false
348,2017,12,15,2017-12-15,false
349,2017,12,16,2017-12-16,false
350,2017,12,17,2017-12-17,false
351,2017,12,18,2017-12-18,false
352,2017,12,19,2017-12-19,false
353,2017,12,20,2017-12-20,false
354,2017,12,21,2017-12-21,false
355,2017,12,22,2017-12-22,false
356,2017,12,23,2017-12-23,true
357,2017,12,24,2017-12-24,true
358,2017,12,25,2017-12-25,true
359,2017,12,26,2017-12-26,true
360,2017,12,27,2017-12-27,true
361,2017,12,28,2017-12-28,true
362,2017,12,29,2017-12-29,true
363,2017,12,30,2017-12-30,true
364,2017,12,31,2017-12-31,true
365,2018,01,01,2018-01-01,true
366,2018,01,02,2018-01-02,true
367,2018,01,03,2018-01-03,true
368,2018,01,04,2018-01-04,true
369,2018,01,05,2018-01-05,true
370,2018,01,06,2018-01-06,true
371,2018,01,07,2018-01-07,true
372,2018,01,08,2018-01-08,false
373,2018,01,09,2018-01-09,false
374,2018,01,10,2018-01-10,false
375,2018,01,11,2018-01-11,false
376,2018,01,12,2018-01-12,false
377,2018,01,13,2018-01-13,false
378,2018,01,14,2018-01-14,false
379,2018,01,15,2018-01-15,false
380,2018,01,16,2018-01-16,false
381,2018,01,17,2018-01-17,false
382,2018,01,18,2018-01-18,false
383,2018,01,19,2018-01-19,false
384,2018,01,20,2018-01-20,false
385,2018,01,21,2018-01-21,false
386,2018,01,22,2018-01-22,false
387,2018,01,23,2018-01-23,false
388,2018,01,24,2018-01-24,false
389,2018,01,25,2018-01-25,false
390,2018,01,26,2018-01-26,false
391,2018,01,27,2018-01-27,false
392,2018,01,28,2018-01-28,false
393,2018,01,29,2018-01-29,false
394,2018,01,30,2018-01-30,false
395,2018,01,31,2018-01-31,false
396,2018,02,01,2018-02-01,false
397,2018,02,02,2018-02-02,false
398,2018,02,03,2018-02-03,false
399,2018,02,04,2018-02-04,false
400,2018,02,05,2018-02-05,false
401,2018,02,06,2018-02-06,false
402,2018,02,07,2018-02-07,false
403,2018,02,08,2018-02-08,false
404,2018,02,09,2018-02-09,false
405,2018,02,10,2018-02-10,true
406,2018,02,11,2018-02-11,true
407,2018,02,12,2018-02-12,true
408,2018,02,13,2018-02-13,true
409,2018,02,14,2018-02-14,true
410,2018,02,15,2018-02-15,true
411,2018,02,16,2018-02-16,true
412,2018,02,17,2018-02-17,true
413,2018,02,18,2018-02-18,true
414,2018,02,19,2018-02-19,true
415,2018,02,20,2018-02-20,true
416,2018,02,21,2018-02-21,true
417,2018,02,22,2018-02-22,true
418,2018,02,23,2018-02-23,true
419,2018,02,24,2018-02-24,true
420,2018,02,25,2018-02-25,true
421,2018,02,26,2018-02-26,true
422,2018,02,27,2018-02-27,true
423,2018,02,28,2018-02-28,true
424,2018,03,01,2018-03-01,true
425,2018,03,02,2018-03-02,true
426,2018,03,03,2018-03-03,true
427,2018,03,04,2018-03-04,true
428,2018,03,05,2018-03-05,true
429,2018,03,06,2018-03-06,true
430,2018,03,07,2018-03-07,true
431,2018,03,08,2018-03-08,true
432,2018,03,09,2018-03-09,true
433,2018,03,10,2018-03-10,true
434,2018,03,11,2018-03-11,true
435,2018,03,12,2018-03-12,false
436,2018,03,13,2018-03-13,false
437,2018,03,14,2018-03-14,false
438,2018,03,15,2018-03-15,false
439,2018,03,16,2018-03-16,false
440,2018,03,17,2018-03-17,false
441,2018,03,18,2018-03-18,false
442,2018,03,19,2018-03-19,false
443,2018,03,20,2018-03-20,false
444,2018,03,21,2018-03-21,false
445,2018,03,22,2018-03-22,false
446,2018,03,23,2018-03-23,false
447,2018,03,24,2018-03-24,false
448,2018,03,25,2018-03-25,false
449,2018,03,26,2018-03-26,false
450,2018,03,27,2018-03-27,false
451,2018,03,28,2018-03-28,false
452,2018,03,29,2018-03-29,false
453,2018,03,30,2018-03-30,false
454,2018,03,31,2018-03-31,false
455,2018,04,01,2018-04-01,false
456,2018,04,02,2018-04-02,false
457,2018,04,03,2018-04-03,false
458,2018,04,04,2018-04-04,false
459,2018,04,05,2018-04-05,false
460,2018,04,06,2018-04-06,false
461,2018,04,07,2018-04-07,true
462,2018,04,08,2018-04-08,true
463,2018,04,09,2018-04-09,true
464,2018,04,10,2018-04-10,true
465,2018,04,11,2018-04-11,true
466,2018,04,12,2018-04-12,true
467,2018,04,13,2018-04-13,true
468,2018,04,14,2018-04-14,true
469,2018,04,15,2018-04-15,true
470,2018,04,16,2018-04-16,true
471,2018,04,17,2018-04-17,true
472,2018,04,18,2018-04-18,true
473,2018,04,19,2018-04-19,true
474,2018,04,20,2018-04-20,true
475,2018,04,21,2018-04-21,true
476,2018,04,22,2018-04-22,true
477,2018,04,23,2018-04-23,true
478,2018,04,24,2018-04-24,true
479,2018,04,25,2018-04-25,true
480,2018,04,26,2018-04-26,true
481,2018,04,27,2018-04-27,true
482,2018,04,28,2018-04-28,true
483,2018,04,29,2018-04-29,true
484,2018,04,30,2018-04-30,true
485,2018,05,01,2018-05-01,true
486,2018,05,02,2018-05-02,true
487,2018,05,03,2018-05-03,true
488,2018,05,04,2018-05-04,true
489,2018,05,05,2018-05-05,true
490,2018,05,06,2018-05-06,true
491,2018,05,07,2018-05-07,false
492,2018,05,08,2018-05-08,false
493,2018,05,09,2018-05-09,false
494,2018,05,10,2018-05-10,false
495,2018,05,11,2018-05-11,false
496,2018,05,12,2018-05-12,false
497,2018,05,13,2018-05-13,false
