IndexPrdVente;CodePrdVente;LibellePrdVente;CodeFamilleVente;LibelleFamilleVente;TauxTva;CodeMC;CodeStatistique;pointDeVente
162;ME*SOIR-A;Menu Soir Adulte;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
163;SUP-DPA;Suppl�ment DP Adulte;SDP;SUPPLEMENT DP;10;SUPPLEMENT DP;FORF;HOTEL
164;SUP-DPE;Suppl�ment DP Enfant;SDP;SUPPLEMENT DP;10;SUPPLEMENT DP;FORF;HOTEL
165;ME*ENF;Menu Enfant DP;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
166;SUP-PCA;Suppl�ment PC Adulte;SDP;SUPPLEMENT DP;10;SUPPLEMENT DP;FORF;HOTEL
167;SUP-PCE;Suppl�ment PC Enfant;SDP;SUPPLEMENT DP;10;SUPPLEMENT DP;FORF;HOTEL
168;WI*DBLE;Chambre Double;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
169;WI*TWIN;Chambre Twin;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
170;WI*TRPL*2;Chambre Triple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
171;WI*QUAD*2;Chambre Quadruple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
172;WI*CONF+*2;Chambre Confort +;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
173;CAFE;Caf�;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
174;THE;Th�;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
175;INFUSION;Infusion;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
176;GRDCAF�;Grand Caf�;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
177;CHOCOLAT;Chocolat Chaud;CA;CAFETERIE;10;CAFETERIE;BARS;BAR
178;X*CH*GRP;Chambre Groupe;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
179;DP*GRP;Demi-Pension Groupe;DP;DEMI-PENSION;10;DEMI-PENSION;FORF;HOTEL
180;ME*29;Menu � 29�;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
181;ME*35;Menu � 35�;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
182;ME*ENFC;Menu Enfant � 12�;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
183;ME*JOUR;Menu du Jour;ME;MENU;10;RESTAURANT MENUS;REST;RESTAURANT
184;BARSOFT;Bar Soft;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
185;BARALCOOL;Bar Alcool;BARA;BAR ALCOOL;20;BAR ALCOOL;BARA;BAR
186;ENTREE;Entr�e du Jour;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
187;PLATDUJOUR;Plat du Jour;PV;VIANDES;10;RESTAURANT CARTES;REST;RESTAURANT
188;DESSERTDUJOUR;Dessert du Jour;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
189;VERREVIN;Verre de Vin;VD;VIN DIVERS;20;CAVE;BARA;BAR
190;VERREVINSAVOIE;Verre de Vin de Savoie;VD;VIN DIVERS;20;CAVE;BARA;BAR
191;VERREVINBERGERON;Verre de Vin Bergeron;VD;VIN DIVERS;20;CAVE;BARA;BAR
192;VERREBXRHONE;Verre de Vin Bordeaux ou CDT;VD;VIN DIVERS;20;CAVE;BARA;BAR
